n,x,y
0,1250.0000116747433,7.275957614183426e-12
1,1250.049906192103,7.275957614183426e-12
2,1250.0998007094627,7.275957614183426e-12
3,1250.1496952268221,6.366462912410498e-12
4,1250.1995897441818,5.4569682106375694e-12
5,1250.2494842615415,4.547473508864641e-12
6,1250.2993787789012,4.547473508864641e-12
7,1250.349273296261,3.637978807091713e-12
8,1250.3991678136206,3.637978807091713e-12
9,1250.4490623309803,3.637978807091713e-12
10,1250.49895684834,3.637978807091713e-12
11,1250.5488513656996,3.637978807091713e-12
12,1250.5987458830593,3.637978807091713e-12
13,1250.648640400419,2.7284841053187847e-12
14,1250.6985349177785,2.7284841053187847e-12
15,1250.7484294351382,3.637978807091713e-12
16,1250.7983239524979,4.547473508864641e-12
17,1250.8482184698576,4.547473508864641e-12
18,1250.8981129872172,6.366462912410498e-12
19,1250.948007504577,7.275957614183426e-12
20,1250.9979020219366,1.000444171950221e-11
21,1251.0477965392963,1.1823431123048067e-11
22,1251.097691056656,1.4551915228366852e-11
23,1251.1475855740157,1.6370904631912708e-11
24,1251.1974800913754,1.8189894035458565e-11
25,1251.2473746087348,2.000888343900442e-11
26,1251.2972691260945,2.1827872842550278e-11
27,1251.3471636434542,2.4556356947869062e-11
28,1251.397058160814,2.637534635141492e-11
29,1251.4469526781736,2.7284841053187847e-11
30,1251.4968471955333,2.9103830456733704e-11
31,1251.546741712893,2.9103830456733704e-11
32,1251.5966362302527,3.092281986027956e-11
33,1251.6465307476124,3.183231456205249e-11
34,1251.696425264972,3.2741809263825417e-11
35,1251.7463197823317,3.2741809263825417e-11
36,1251.7962142996912,3.3651303965598345e-11
37,1251.846108817051,3.456079866737127e-11
38,1251.8960033344106,3.456079866737127e-11
39,1251.9458978517703,3.3651303965598345e-11
40,1251.99579236913,3.2741809263825417e-11
41,1252.0456868864896,3.183231456205249e-11
42,1252.0955814038493,3.183231456205249e-11
43,1252.145475921209,3.092281986027956e-11
44,1252.1953704385687,2.9103830456733704e-11
45,1252.2452649559284,2.8194335754960775e-11
